character,line
Jeff,"What? Oh, this my car? Don't crash it."
Troy,I'm not going to crash it.
Britta,"Crash it, Troy."
Jeff,"Go to sleep, Britta. Go to sleep."
Britta,"Crash his car, Troy."
Abed,This seems like a really dark chapter in our group's story.
Britta,"Go to sleep, Abed."
Abed,Cool.
Britta,"Hey, there's the place we should've gone to tonight."
Jeff,"Yeah, exactly, L Street."
Britta,"That's the Red Door, stupid. Do you see a sign that says L Street?"
Jeff,L Street's too cool to have a sign. It's called L Street after the street it's on.
Britta,The Red Door is on L Street.
Jeff,L Street has a red door. Hey!
Troy,It's the same bar?! You two have been saying one bar is lame and the other one is awesome all night and it's the same bar?!
Britta,"Well, he probably goes there on Friday nights which is lame."
Jeff,You wish.
Troy,"Stop, just stop. I just spent the last two years thinking you that guys knew more than me about life and I just found out that you guys are just as dumb as me!"
Britta,Duh doy.
Jeff,Yeah. Duh doy.
Troy,Got it. Duh doy. Duh doy.
Annie,You can take me home first. I only live a few blocks from here.
Jeff,You do?
Britta,"Annie, this is a terrible neighborhood."
Annie,"This is my apartment. Weird night, huh?"
Troy,"Yeah, alcohol makes people sad. It's like the Lifetime Movies of beverages."
Annie,I pretended to be a different person tonight.
Troy,Abed does that like three times a week.
Annie,I did it because I didn't want to be me. I did it because I'm not sure who I am. Admit it. We went to school for four years and you didn't even know me.
Troy,"Yeah but, I know you now. You're Annie. You like puzzles and little monsters on your pencils and some guy names Mark Ruffalo. You're a fierce competitor and a sore loser. And, you expect everybody to be than who they are and you expect yourself to be better than everyone. Which is cool. Good night."
Annie,"Night. Guess everyone is going to be pretty embarrassed on Monday, huh?"
Troy,"Nah, everyone just got a little drunk. No one did anything that bad, right?"
Britta,"Wait, wait, wait, wait. What are we doing?"
Jeff,What are we doing?
Britta,This is bad.
Jeff,Yeah.
Troy,OK. I flew off the handle earlier. I apologize.
Abed,They were making out.
Britta,Abed!
Jeff,Why the hell would you say that?
Abed,Why would you do it right in front of me? I'm not a coat rack.
Troy,"Abed, no one likes a tattle tail."
Britta,"Happy Birthday, Troy."
Troy,Thanks.
Jeff,You're a man now.
Abed,I don't think this is going to be big enough.
Troy,Just try it. We're so close.
Abed,Right. Breathe in. Arms. 157!
Troy,"We did it! Little help? Hurry, I think it's a girl."
Abed,Left side or right side?
Troy,Left side.
Abed,Got it. Tell me when I'm close.
Troy,OK.
